Si,Al,Fe,Mg,Ca,Na,K,Ti,Mn,Sr,Y,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu
238017.8616,84521.3357,84648.49731,38594.2974,54673.84365,19510.85162,4648.827551,14024.62381,1548.91527,504.5983333,14.941,13.20666667,31.21733333,3.977666667,17.30766667,4.085666667,1.420666667,3.526666667,0.555,2.928,0.543333333,1.520666667,0.217,1.391,0.181333333
302851.0851,88120.24041,28604.81819,7718.859479,20082.81054,40134.48946,17516.11809,3536.123096,387.2288176,414.6666667,25.7,50.13333333,89.3,9.62,36.56666667,6.143333333,1.373333333,5.033333333,0.755,4.783333333,0.992,2.783333333,0.448,2.86,0.441
235587.2,91930.8454,61640.27398,50051.97944,67752.68468,19807.59461,6060.078772,4914.611761,1006.794926,548.3333333,9.453333333,11.5,22.1,2.693333333,11.27333333,2.386666667,1.023333333,2.26,0.318,1.883333333,0.356666667,1.023,0.159,1.173333333,0.170666667
245964.2552,89866.7677,67547.79078,21106.25639,47669.87414,30045.22778,21832.88653,13005.74088,1084.240689,631.5466667,19.16866667,31.10833333,60.32733333,6.791666667,26.94566667,4.935333333,1.584,4.48,0.598333333,3.560666667,0.659,1.731,0.244666667,1.648,0.233666667
269276.091,99097.44418,49047.93554,11821.44304,39286.43943,29310.47348,23319.85277,6237.896822,1017.341165,934.617,25.608,32.815,71.264,8.395,34.218,6.564,1.923,5.931,0.765,4.765,0.888,2.657,0.371,2.52,0.391
318323.1809,82033.85744,22075.45752,542.7323071,5288.711674,39466.81773,44412.90607,719.2114773,77.44576352,16.4,41.3,164,288,30.6,106.12,17.32,1.46,11.6,1.69,9.13,1.63,4.07,0.518,3.08,0.419
304767.5682,84944.73625,35989.21419,603.0358968,12149.74303,38131.47427,46986.36418,1378.488665,1084.240689,81,49.5,179,325,32.4,115.03,18.21,2.89,12.7,1.84,10.2,1.96,5.43,0.759,4.73,0.731
292614.2603,85209.3616,35678.29225,14472.86152,35019.84757,25965.01166,25734.58109,4794.743182,774.4576352,431,18,36,73,8.5,31,5.9,1.2,5.1,0.63,3.7,0.66,1.72,0.24,1.5,0.27
296353.7397,83621.60952,35678.29225,14472.86152,34305.1568,25223.15419,26564.72886,4794.743182,774.4576352,414,19,38,76,8.6,32,6,1.2,5.1,0.64,3.5,0.63,1.7,0.23,1.4,0.26
251947.4222,86797.11368,59463.82042,39800.36919,57175.26134,24481.29671,12452.21665,7192.114773,774.4576352,519,18,27,59,7.5,31,6.2,1.7,5.5,0.7,4.1,0.7,1.94,0.28,1.67,0.34
322062.6603,80975.35606,23085.95381,5427.323071,21440.723,25223.15419,31545.61553,2996.714489,774.4576352,244,24,34,66,7.2,26,4.9,0.9,4.6,0.64,3.9,0.79,2.34,0.35,2.32,0.47
291679.3905,81504.60675,36377.86661,14472.86152,37163.91987,23739.43924,24074.28553,4794.743182,774.4576352,368,18,35,73,8.3,30,5.9,1.1,5.1,0.65,3.7,0.68,1.87,0.27,1.72,0.34
281863.2571,83092.35883,43373.61019,19900.1846,42166.75523,24481.29671,23244.13776,5394.086079,774.4576352,409,21,33,72,8.3,33,6.2,1.4,5.9,0.76,4.3,0.83,2.32,0.34,2.1,0.41
267840.2095,83092.35883,56743.25348,37991.2615,44310.82753,17804.57943,23244.13776,5993.428977,774.4576352,457,20,41,86,10,36,6.6,1.5,4.9,0.7,4,0.8,2,0.3,1.8,0.3
286070.1714,83092.35883,38087.93726,24121.43587,35734.53833,16320.86447,26564.72886,5394.086079,774.4576352,426,25,45,88,10,38,7.2,1.5,5.5,0.9,4.5,0.9,2.3,0.4,2.2,0.3
272514.5587,79916.85467,58297.86316,37388.2256,39307.99217,17804.57943,21583.8422,5993.428977,774.4576352,381,24,40,78,10,35,6.3,1.5,5.4,0.8,4.6,1,2.5,0.5,2.7,0.4
283732.9968,80975.35606,50524.81474,31357.86663,33590.46603,19288.29438,24904.43331,5394.086079,774.4576352,422,21,52,105,12,46,9,1.5,5.9,0.7,3.9,0.8,2.4,0.4,1.7,0.4
289809.6508,87326.36437,38087.93726,18091.0769,35019.84757,19288.29438,26564.72886,5394.086079,774.4576352,384,29,42,81,10,36,6.8,1.6,5.7,0.9,5,1,3,0.5,2.5,0.4
257556.6413,75682.84912,65293.60674,43418.58457,52887.11674,20030.15185,20753.69442,7791.45767,774.4576352,895,25,65,113,13,47,8.4,1.9,6.4,0.8,4.7,0.9,2.6,0.4,2.4,0.3
254284.5968,87855.61507,63738.99705,36182.15381,52172.42597,15579.007,21583.8422,8390.800568,774.4576352,732,27,61,118,13,50,9.1,2.1,8.6,1.2,5.9,1.1,2.8,0.4,2.1,0.3
253817.1619,88384.86576,66070.91158,41006.44098,55031.18904,13353.43457,19923.54665,7791.45767,774.4576352,663,28,51,100,11,43,7.8,1.9,8,1.1,5.8,1.1,3,0.5,2.3,0.3
265035.6,90501.86853,59852.47284,31357.86663,47169.5906,16320.86447,22413.98998,8390.800568,774.4576352,679,26,67,121,15,55,9.7,2.2,9,1.1,5.3,1,2.6,0.3,2,0.3
249610.2476,83621.60952,65293.60674,42815.54867,56460.57057,19288.29438,20753.69442,8390.800568,774.4576352,921,24,66,118,15,51,8.9,2.1,8.3,1,5.2,1,2.9,0.4,2.3,0.3
272981.9936,82563.10814,53634.03411,37388.2256,41452.06447,19288.29438,24074.28553,6592.771875,774.4576352,629,23,55,103,13,44,7.9,1.7,7,0.9,4.5,0.9,2.4,0.3,2.1,0.3
253817.1619,84150.86021,65293.60674,39800.36919,53601.8075,17804.57943,21583.8422,8390.800568,774.4576352,860,25,64,115,14,51,8.6,2.1,8.2,1,5.1,1,2.9,0.4,2.4,0.4
270644.819,83621.60952,55965.94863,35579.11791,45025.5183,17804.57943,23244.13776,7791.45767,774.4576352,493,24,44,92,11,40,7.6,1.8,7.1,1.1,4.6,0.9,2.4,0.3,2.1,0.3
235587.2,81504.60675,73066.65516,53670.19482,56460.57057,16320.86447,17433.10332,13185.54375,774.4576352,462,35,34,75,9,42,9.8,2.2,8.6,1.2,7,1.3,3.4,0.4,2.8,0.4
265035.6,87855.61507,63738.99705,36785.18971,40737.3737,17062.72195,22413.98998,7192.114773,774.4576352,495,26,50,94,11,41,7.7,1.9,6.1,0.9,4.7,0.9,2.5,0.4,2.4,0.4
271579.6889,80975.35606,62961.69221,37991.2615,40022.68293,15579.007,22413.98998,7192.114773,774.4576352,491,27,46,94,10,40,7.6,1.8,6.3,0.9,5.4,1,2.7,0.4,2.5,0.4
264568.1651,82563.10814,61407.08253,30754.83074,51457.7352,20030.15185,24904.43331,7791.45767,774.4576352,678,24,60,113,13,49,8.6,1.9,6.1,0.9,5.1,0.9,2.5,0.4,2.1,0.3
268307.6444,81504.60675,59852.47284,35579.11791,43596.13677,20030.15185,24074.28553,7791.45767,774.4576352,594,23,58,120,13,50,8.7,2.1,6.5,0.9,4.9,0.9,2.5,0.3,2.1,0.3
252414.8571,81504.60675,69957.43579,45227.69226,53601.8075,19288.29438,18263.25109,8390.800568,774.4576352,486,22,37,71,8,32,6.2,1.5,5.3,0.8,4.4,0.8,2.5,0.4,2.1,0.3
277188.9079,82563.10814,52079.42442,31357.86663,41452.06447,22255.72428,23244.13776,5993.428977,774.4576352,569,21,42,79,9,35,6.5,1.5,5.1,0.7,4.2,0.8,2.1,0.3,1.9,0.3
266437.9047,83092.35883,60629.77769,32563.93843,50743.04444,21513.86681,20753.69442,7192.114773,774.4576352,650,22,47,86,10,38,7.1,1.7,5.5,0.8,4.6,0.8,2.3,0.3,2,0.3
259426.3809,79387.60398,62961.69221,44624.65637,50743.04444,20030.15185,19923.54665,7192.114773,774.4576352,648,23,48,90,10,40,7.2,1.7,5.5,0.8,4.4,0.8,2.2,0.3,2,0.3
254752.0317,82033.85744,62961.69221,31960.90253,57175.26134,20772.00933,17433.10332,7791.45767,774.4576352,563,22,39,74,9,33,6.2,1.7,5.2,0.7,4,0.8,2.1,0.3,1.9,0.3
259893.8159,83092.35883,62184.38737,33166.97433,49313.6629,22255.72428,19923.54665,7791.45767,774.4576352,632,22,48,92,92,42,7.7,1.8,5.8,0.8,4.6,0.8,2.3,0.3,1.8,0.3
272514.5587,83621.60952,55965.94863,23518.39998,42881.446,26706.86914,25734.58109,8390.800568,774.4576352,672,20,54,103,13,46,8.2,2,6.2,0.8,4,0.7,1.7,0.3,1.5,0.2
268307.6444,83092.35883,58297.86316,28342.68715,44310.82753,24481.29671,23244.13776,8390.800568,774.4576352,660,20,53,101,12,46,8.4,1.8,6.2,0.8,4.3,0.7,1.9,0.3,1.5,0.2
260361.2508,80975.35606,59075.168,28945.72305,47884.28137,20772.00933,26564.72886,8390.800568,774.4576352,805,22,59,113,14,51,9.5,2.1,6.7,0.9,4.7,0.8,2.1,0.3,1.6,0.2
252882.292,82033.85744,62184.38737,28342.68715,61463.40594,20772.00933,19093.39887,7791.45767,774.4576352,592,22,39,74,9,34,7.1,1.6,5.8,0.9,4.6,0.8,2.2,0.3,1.8,0.3
246338.2032,80975.35606,66848.21642,36182.15381,64322.169,19288.29438,16602.95554,7192.114773,774.4576352,546,21,34,65,8,30,6,1.5,5,0.7,4.2,0.8,2.2,0.3,1.9,0.3
244468.4635,80446.10536,71512.04548,45830.72816,57175.26134,19288.29438,14942.65999,7192.114773,774.4576352,629,22,40,73,8,32,6.1,1.5,4.9,0.7,4.4,0.8,2.2,0.3,1.9,0.3
247740.5079,80446.10536,73066.65516,45830.72816,60034.0244,17804.57943,14942.65999,7192.114773,774.4576352,678,23,44,86,9,35,6.8,1.6,5.7,0.8,4.5,1,2.7,0.4,2.2,0.3
252414.8571,78858.35328,65293.60674,43418.58457,55031.18904,19288.29438,16602.95554,7192.114773,774.4576352,596,23,40,83,9,36,6.8,1.7,5.7,0.8,4.4,0.8,2.3,0.3,1.9,0.3
256154.3365,82563.10814,66848.21642,40403.40509,51457.7352,20030.15185,17433.10332,7192.114773,774.4576352,570,23,37,76,9,34,7.6,1.7,6,0.9,4.5,0.9,2.4,0.3,2.2,0.3
271112.2539,86267.86299,56743.25348,25327.50767,40022.68293,20772.00933,29885.31997,8390.800568,774.4576352,914,23,76,141,16,58,9.9,2.1,6.3,0.8,4.3,0.8,2.1,0.3,2,0.2
257556.6413,77799.8519,66070.91158,43418.58457,54316.49827,19288.29438,17433.10332,7192.114773,774.4576352,527,21,33,69,7,30,5.9,1.5,5,0.7,3.8,0.7,2.1,0.3,2,0.2
250545.1174,89972.61784,67625.52127,44021.62047,52887.11674,20030.15185,16602.95554,7791.45767,774.4576352,530,23,37,73,9,34,6.5,1.6,5.2,0.7,4.3,0.8,2.1,0.3,2.1,0.3
260361.2508,86797.11368,62184.38737,41609.47688,47169.5906,21513.86681,20753.69442,5993.428977,774.4576352,504,20,31,62,7,28,5.8,1.4,3.9,0.6,3.2,0.7,1.7,0.3,1.7,0.2
254752.0317,79916.85467,62961.69221,42212.51278,52887.11674,20030.15185,18263.25109,5993.428977,774.4576352,528,18,30,64,7,27,5.8,1.5,4.6,0.7,3.7,0.7,1.7,0.2,1.6,0.2
230398.6724,85156.43653,72367.0808,55961.73123,69182.06622,13946.92055,4648.827551,7072.246193,1471.469507,163,23,5,13,1.730035419,7.347677204,2,1,4.523550627,1,4,0.920201485,2.791496238,0.445592839,3,0.458385093
236054.6349,90501.86853,73455.30758,30935.74151,56532.03965,25445.71143,12286.1871,3895.728835,2245.927142,168,34,51.1,109,9.4,34.4,5.8,1.21,5.3,0.8,3.7,0.85,1.9,0.4,2.2,0.36
332813.6635,74624.34774,18655.31621,4040.340509,17724.33101,27819.65535,27643.92097,2217.568722,697.0118717,235,28,66.7,128,11.2,39.4,6.7,1.27,6.3,0.9,4.5,1.07,2.5,0.5,2.9,0.46
331878.7936,74624.34774,21220.42219,5186.108713,19939.87239,24778.0397,27809.95053,2337.437301,697.0118717,211,37,59.8,117,10.6,39.2,6.5,1.24,6.6,1,4.9,1.17,2.8,0.5,3.1,0.55
353380.8,67744.08873,9560.849558,663.3394865,3216.10845,28042.2126,40013.12285,539.4086079,309.7830541,26,46,20.6,42.6,5.1,21.4,6.3,0.22,6.9,1.4,7.9,2.11,5.2,1,6.7,1.06
247273.073,69861.0915,59697.01188,63318.76917,50028.35367,16246.67873,11539.0541,3955.663125,1161.686453,244.5,19,13.7,27.9,3.34,13.964,3.183,0.88,3,0.5,3,0.6,1.8,0.26,1.7,0.27
258584.9981,89813.84263,57131.9059,26412.97228,56389.10149,21958.98129,10708.90632,4854.677471,1471.469507,395,21,20.5,42.2,4.92,19.821,4.275,1.46,3.8,0.6,3.8,0.7,2.2,0.32,2.2,0.34
